feature,importancia
frequencia_compras,0.22818752
canal_aquisicao_Indicação,0.09522864
cidade_SP,0.052610215
valor_total,0.044108417
canal_aquisicao_Orgânico,0.0415364
cidade_BSB,0.032082327
canal_aquisicao_Google,0.03138872
compras_moda,0.028084034
ticket_medio_relativo,0.027453639
metodo_preferido_Pix,0.026537945
ticket_medio,0.025364539
prop_compras_moda,0.024674859
prop_compras_esportes,0.024062874
idade,0.023859909
prop_compras_eletrônicos,0.023779135
compras_eletrônicos,0.023597121
recencia_dias,0.023434192
cidade_POA,0.02301747
dias_entre_compras,0.023016118
metodo_preferido_Cartão,0.0226379
compras_beleza,0.022462739
std_valor,0.021571282
prop_compras_casa,0.021230476
prop_compras_beleza,0.021076415
compras_esportes,0.01782598
compras_casa,0.017275581
genero_M,0.017214542
cidade_RJ,0.016681096
cliente_sem_compra,0.0
